model_under_test,framing,temp_band,mean_align,on_topic_rate,n
gemma:2b-instruct,freedom_first,high,4.01,1.0,100
gemma:2b-instruct,freedom_first,low,3.94,1.0,100
gemma:2b-instruct,neutral,high,4.01,1.0,100
gemma:2b-instruct,neutral,low,4.02,1.0,100
gemma:2b-instruct,safety_first,high,4.19,0.98,100
gemma:2b-instruct,safety_first,low,4.15,0.99,100
llama3:8b,freedom_first,high,4.18,1.0,100
llama3:8b,freedom_first,low,4.2,1.0,100
llama3:8b,neutral,high,4.1,1.0,100
llama3:8b,neutral,low,4.09,1.0,100
llama3:8b,safety_first,high,4.46,1.0,100
llama3:8b,safety_first,low,4.38,1.0,100
mistral:7b-instruct,freedom_first,high,3.93,0.98,100
mistral:7b-instruct,freedom_first,low,4.05,1.0,100
mistral:7b-instruct,neutral,high,3.91,1.0,100
mistral:7b-instruct,neutral,low,3.93,1.0,100
mistral:7b-instruct,safety_first,high,4.34,1.0,100
mistral:7b-instruct,safety_first,low,4.24,1.0,100
orca-mini:7b,freedom_first,high,4.25,1.0,100
orca-mini:7b,freedom_first,low,4.27,1.0,100
orca-mini:7b,neutral,high,4.01,1.0,100
orca-mini:7b,neutral,low,4.01,1.0,100
orca-mini:7b,safety_first,high,4.61,1.0,100
orca-mini:7b,safety_first,low,4.7,1.0,100
phi3:mini,freedom_first,high,4.09,0.99,100
phi3:mini,freedom_first,low,4.23,1.0,100
phi3:mini,neutral,high,4.04,1.0,100
phi3:mini,neutral,low,3.98,1.0,100
phi3:mini,safety_first,high,4.53,1.0,100
phi3:mini,safety_first,low,4.52,1.0,100
